státi(se)	stá-ti-(se)
reparovat	re-par-ova-t
preparovat	pre-par-ova-t
separovat	se-par-ova-t
spárovat	s-pár-ova-t
vyspárovat	vy-spár-ova-t
rozparovat	roz-par-ova-t
varovat	var-ova-t
havarovat	havar-ova-t
tvarovat	tvar-ova-t
vytvarovat	vy-tvar-ova-t
uvarovat	u-var-ova-t
vyvarovat	vy-var-ova-t
celebrovat	celebr-ova-t
žebrovat	žebr-ova-t
kalibrovat	kalibr-ova-t
vibrovat	vibr-ova-t
žejbrovat	žejbr-ova-t
prokádrovat	pro-kádr-ova-t
fládrovat	fládr-ova-t
sádrovat	sádr-ova-t
zasádrovat	za-sádr-ov-a-t
fedrovat	fedr-ova-t
šnajdrovat	šnajdr-ova-t
vandrovat	vandr-ova-t
přivandrovat	při-vandr-ova-t
zvandrovat	z-vandr-ova-t
plundrovat	plundr-ova-t
zplundrovat	z-plundr-ova-t
hudrovat	hudr-ova-t
mudrovat	mudr-ova-t
zamudrovat	za-mudr-ova-t
vymudrovat	vy-mudr-ova-t
pudrovat	pudr-ova-t
napudrovat	na-pudr-ova-t
zapudrovat	za-pudr-ova-t
přepudrovat	pře-pudr-ova-t
připudrovat	při-pudr-ova-t
dehydrovat	de-hydr-ova-t
macerovat	macer-ova-t
děrovat	děr-ova-t
naděrovat	na-děr-ova-t
federovat	feder-ova-t
konfederovat	kon-feder-ova-t
moderovat	mod-er-ova-t
vyděrovat	vy-děr-ova-t
referovat	re-fer-ova-t
preferovat	pre-fer-ova-t
diferovat	di-fer-ova-t
konferovat	kon-fer-ova-t
ofěrovat	ofěr-ova-t
šoférovat	šof-ér-ova-t
interferovat	inter-fer-ova-t
transferovat	trans-fer-ova-t
sugerovat	su-ger-ova-t
vsugerovat	v-su-ger-ova-t
inherovat	inher-ova-t
koherovat	koher-ova-t
tolerovat	toler-ova-t
besemerovat	besemer-ova-t
aglomerovat	aglomer-ova-t
generovat	gen-er-ova-t
degenerovat	de-gen-er-ova-t
zdegenerovat	z-de-gen-er-ova-t
regenerovat	re-gen-er-ova-t
zregenerovat	z-re-gen-er-ova-t
šněrovat	šněr-ova-t
zašněrovat	za-šněr-ova-t
odšněrovat	od-šněr-ova-t
sešněrovat	se-šněr-ova-t
přišněrovat	při-šněr-ova-t
rozšněrovat	roz-šněr-ova-t
remunerovat	re-muner-ova-t
pérovat	pér-ova-t
temperovat	temper-ova-t
operovat	oper-ova-t
kooperovat	ko-oper-ova-t
vyoperovat	vy-oper-ova-t
prosperovat	pro-sper-ova-t
vypérovat	vy-pér-ova-t
košerovat	košer-ova-t
aliterovat	a-liter-ova-t
transliterovat	trans-liter-ova-t
alterovat	alter-ova-t
věrovat	věr-ova-t
úvěrovat	ú-věr-ova-t
inzerovat	inzer-ova-t
lifrovat	lifr-ova-t
šifrovat	šifr-ova-t
zašifrovat	za-šifr-ova-t
odšifrovat	od-šifr-ova-t
dešifrovat	de-šifr-ova-t
bagrovat	bagr-ova-t
vybagrovat	vy-bagr-ova-t
integrovat	in-tegr-ova-t
emigrovat	e-migr-ova-t
imigrovat	i-migr-ova-t
čachrovat	čachr-ova-t
začachrovat	za-čachr-ova-t
sichrovat	sichr-ova-t
posichrovat	po-sichr-ova-t
prubírovat	prub-ír-ova-t
oprubírovat	o-prub-ír-ova-t
špacírovat	špac-ír-ova-t
štrapicírovat	štrapic-ír-ova-t
inspicírovat	in-spic-ír-ova-t
kapricírovat	kapric-ír-ova-t
želírovat	žel-ír-ova-t
polírovat	polír-ova-t
pulírovat	pulír-ova-t
šmírovat	šmír-ova-t
sumírovat	sum-ír-ova-t
kopírovat	kop-ír-ova-t
okopírovat	o-kop-ír-ova-t
aspirovat	a-spir-ova-t
respirovat	re-spir-ova-t
transpirovat	transpir-ova-t
inspirovat	in-spir-ova-t
konspirovat	kon-spir-ova-t
kupírovat	kupír-ova-t
tupírovat	tupír-ova-t
kasírovat	kas-ír-ova-t
zkasírovat	z-kas-ír-ova-t
masírovat	mas-ír-ova-t
namasírovat	na-mas-ír-ova-t
promasírovat	pro-mas-ír-ova-t
vymasírovat	vy-mas-ír-ova-t
pasírovat	pas-ír-ova-t
forsírovat	fors-ír-ova-t
kašírovat	kaš-ír-ova-t
pomašírovat	po-maš-ír-ova-t
okšírovat	o-kšír-ova-t
lavírovat	lav-ír-ova-t
akvírovat	a-kv-ír-ova-t
rekvírovat	re-kv-ír-ova-t
zrekvírovat	z-re-kv-ír-ova-t
servírovat	serv-ír-ova-t
otaxírovat	o-tax-ír-ova-t
bazírovat	baz-ír-ova-t
fantazírovat	fantaz-ír-ova-t
drezírovat	drez-ír-ova-t
frizírovat	friz-ír-ova-t
žirovat	žir-ova-t
režírovat	rež-ír-ova-t
zrežírovat	z-rež-ír-ova-t
fajrovat	fajr-ova-t
sakrovat	sakr-ova-t
masakrovat	masakr-ova-t
cukrovat	cukr-ova-t
ocukrovat	o-cukr-ova-t
pocukrovat	po-cukr-ova-t
somrovat	somr-ova-t
laborovat	labor-ova-t
kolaborovat	ko-labor-ova-t
čórovat	čór-ova-t
adorovat	ad-or-ova-t
vzdorovat	vz-dor-ova-t
vyvzdorovat	vy-vz-dor-ova-t
perforovat	per-for-ova-t
horovat	hor-ova-t
nahorovat	na-hor-ova-t
dekorovat	dekor-ova-t
vydekorovat	vy-dekor-ova-t
skórovat	skór-ova-t
chlorovat	chlor-ova-t
kolorovat	kolor-ova-t
mramorovat	mramor-ova-t
memorovat	memor-ova-t
ignorovat	ignor-ova-t
honorovat	honor-ova-t
odporovat	od-por-ova-t
podporovat	pod-por-ova-t
inkorporovat	in-korpor-ova-t
lektorovat	lekt-or-ova-t
protektorovat	pro-tekt-or-ova-t
doktorovat	dokt-or-ova-t
kantorovat	kant-or-ova-t
mentorovat	mentor-ova-t
pozorovat	po-zor-ova-t
odpozorovat	od-po-zor-ova-t
vypozorovat	vy-po-zor-ova-t
zpozorovat	z-po-zor-ova-t
provát	pro-vá-t
haprovat	hapr-ova-t
opatrovat	o-patr-ova-t
superarbitrovat	super-arbitr-ova-t
titrovat	titr-ova-t
filtrovat	filtr-ova-t
přefiltrovat	pře-filtr-ova-t
infiltrovat	in-filtr-ova-t
profiltrovat	pro-filtr-ova-t
zfiltrovat	z-filtr-ova-t
centrovat	centr-ova-t
koncentrovat	kon-centr-ova-t
zkoncentrovat	z-kon-centr-ova-t
kontrovat	kontr-ova-t
skontrovat	s-kontr-ova-t
kastrovat	kastr-ova-t
vykastrovat	vy-kastr-ova-t
mastrovat	mastr-ova-t
rastrovat	rastr-ova-t
sekvestrovat	sekvestr-ova-t
registrovat	re-gist-r-ova-t
zaregistrovat	za-re-gist-r-ova-t
mistrovat	mistr-ova-t
ministrovat	mini-str-ova-t
administrovat	ad-mini-str-ova-t
polstrovat	polstr-ova-t
demonstrovat	de-monstr-ova-t
lustrovat	lustr-ova-t
ilustrovat	i-lustr-ova-t
perlustrovat	per-lustr-ova-t
futrovat	futr-ova-t
restaurovat	re-staur-ova-t
zrestaurovat	z-re-staur-ova-t
tezaurovat	tez-aur-ova-t
figurovat	figur-ova-t
konfigurovat	kon-fig-ur-ova-t
inaugurovat	in-aug-ur-ova-t
rekurovat	rekur-ova-t
asekurovat	a-sekur-ova-t
manikúrovat	mani-kúr-ova-t
konkurovat	kon-kur-ova-t
maturovat	matur-ova-t
denaturovat	de-nat-ur-ova-t
saturovat	sat-ur-ova-t
fakturovat	fak-t-ur-ova-t
vyfakturovat	vy-fak-t-ur-ova-t
glazurovat	glaz-ur-ova-t
cenzurovat	cenz-ur-ova-t
ažurovat	ažur-ova-t
manévrovat	man-évr-ova-t
zamanévrovat	za-man-évr-ova-t
vymanévrovat	vy-man-évr-ova-t
radýrovat	rad-ýr-ova-t
vyradýrovat	vy-rad-ýr-ova-t
študýrovat	štud-ýr-ova-t
sekýrovat	sek-ýr-ova-t
pikýrovat	pik-ýr-ova-t
planýrovat	plan-ýr-ova-t
zplanýrovat	z-plan-ýr-ova-t
žinýrovat	žin-ýr-ova-t
garnýrovat	garn-ýr-ova-t
frotýrovat	frot-ýr-ova-t
vykvartýrovat	vy-kvart-ýr-ova-t
obdařovat	ob-dař-ova-t
obhospodařovat	ob-hospod-ař-ova-t
šafářovat	šaf-ář-ova-t
žalářovat	žal-ář-ova-t
napařovat	na-pař-ova-t
zapařovat	za-pař-ova-t
odpařovat	od-pař-ova-t
spařovat	s-pař-ova-t
vypařovat	vy-pař-ova-t
rozpařovat	roz-pař-ova-t
polštářovat	polštář-ova-t
vypolštářovat	vy-polštář-ova-t
zavařovat	za-vař-ova-t
předvařovat	před-vař-ova-t
odvařovat	od-vař-ova-t
převařovat	pře-vař-ova-t
přivařovat	při-vař-ova-t
rozškvařovat	roz-škvař-ova-t
ovařovat	o-vař-ova-t
svařovat	s-vař-ova-t
znešvařovat	z-ne-švař-ova-t
přetvařovat	pře-tvař-ova-t
utvařovat	u-tvař-ova-t
vyvařovat	vy-vař-ova-t
rozvařovat	roz-vař-ova-t
ozařovat	o-zař-ova-t
prozařovat	pro-zař-ova-t
vyzařovat	vy-zař-ova-t
udobřovat	u-dobř-ova-t
vyjadřovat	vy-jadř-ova-t
zapouzdřovat	za-pouzdř-ova-t
pancéřovat	pancéř-ova-t
opancéřovat	o-pancéř-ova-t
vypancéřovat	vy-pancéř-ova-t
zaměřovat	za-měř-ova-t
odměřovat	od-měř-ova-t
přeměřovat	pře-měř-ova-t
směřovat	s-měř-ova-t
vyměřovat	vy-měř-ova-t
rozměřovat	roz-měř-ova-t
opeřovat	o-peř-ova-t
zpronevěřovat	z-pro-ne-věř-ova-t
ověřovat	o-věř-ova-t
pověřovat	po-věř-ova-t
svěřovat	s-věř-ova-t
důvěřovat	dů-věř-ova-t
smiřovat	s-miř-ova-t
usmiřovat	u-s-miř-ova-t
vysířovat	vy-síř-ova-t
rozšiřovat	roz-šiř-ova-t
zviřovat	z-viř-ova-t
rozviřovat	roz-viř-ova-t
zabořovat	za-boř-ova-t
obořovat	o-boř-ova-t
pokořovat	po-koř-ova-t
zamořovat	za-moř-ova-t
umořovat	u-moř-ova-t
ponořovat	po-noř-ova-t
vyšňořovat	vy-šňoř-ova-t
vynořovat	vy-noř-ova-t
ztopořovat	z-topoř-ova-t
přetvořovat	pře-tvoř-ova-t
opepřovat	o-pepř-ova-t
zkypřovat	z-kypř-ova-t
opatřovat	o-patř-ova-t
zaopatřovat	za-o-patř-ova-t
sbratřovat	s-bratř-ova-t
ošetřovat	o-šetř-ova-t
vyšetřovat	vy-šetř-ova-t
zjitřovat	z-jitř-ova-t
rozjitřovat	roz-jitř-ova-t
zaostřovat	za-ostř-ova-t
vyostřovat	vy-ostř-ova-t
zostřovat	z-ostř-ova-t
zbystřovat	z-bystř-ova-t
pobuřovat	po-buř-ova-t
zamhuřovat	za-mhuř-ova-t
přimhuřovat	při-mhuř-ova-t
nakuřovat	na-kuř-ova-t
zakuřovat	za-kuř-ova-t
podkuřovat	pod-kuř-ova-t
pokuřovat	po-kuř-ova-t
prokuřovat	pro-kuř-ova-t
vykuřovat	vy-kuř-ova-t
rozzuřovat	roz-zuř-ova-t
pranýřovat	pranýř-ova-t
basovat	bas-ova-t
časovat	čas-ova-t
vyčasovat	vy-čas-ova-t
leasovat	leas-ova-t
fasovat	fas-ova-t
vyfasovat	vy-fas-ova-t
inkasovat	in-kas-ova-t
hlasovat	hlas-ova-t
odhlasovat	od-hlas-ova-t
přehlasovat	pře-hlas-ova-t
deklasovat	de-klas-ova-t
komasovat	komas-ova-t
pasovat	pas-ova-t
repasovat	re-pas-ova-t
připasovat	při-pas-ova-t
špásovat	špás-ova-t
pošpásovat	po-špás-ova-t
vypasovat	vy-pas-ova-t
rasovat	ras-ova-t
trasovat	tras-ova-t
zrasovat	z-ras-ova-t
nařasovat	na-řas-ova-t
zřasovat	z-řas-ova-t
koncesovat	kon-ces-ova-t
adresovat	a-dres-ova-t
interesovat	inter-es-ova-t
zainteresovat	za-inter-es-ova-t
dezinteresovat	dez-interes-ova-t
vystresovat	vy-stres-ova-t
zmythologisovat	z-myth-o-log-isova-t
lisovat	lis-ova-t
nalisovat	na-lis-ova-t
zageneralisovat	za-general-isova-t
prolisovat	pro-lis-ova-t
plisovat	plis-ova-t
slisovat	s-lis-ova-t
vlisovat	v-lis-ova-t
vylisovat	vy-lis-ova-t
zlisovat	z-lis-ova-t
lápisovat	lápis-ova-t
zapisovat	za-pis-ova-t
nadpisovat	nad-pis-ova-t
předpisovat	před-pis-ova-t
odpisovat	od-pis-ova-t
podpisovat	pod-pis-ova-t
předepisovat	přede-pis-ova-t
odepisovat	ode-pis-ova-t
podepisovat	pode-pis-ova-t
přepisovat	pře-pis-ova-t
sepisovat	se-pis-ova-t
rozepisovat	roze-pis-ova-t
připisovat	při-pis-ova-t
opisovat	o-pis-ova-t
dopisovat	do-pis-ova-t
popisovat	po-pis-ova-t
propisovat	pro-pis-ova-t
spisovat	s-pis-ova-t
upisovat	u-pis-ova-t
vpisovat	v-pis-ova-t
vypisovat	vy-pis-ova-t
rozpisovat	roz-pis-ova-t
šisovat	šis-ova-t
viksovat	viks-ova-t
koksovat	koks-ova-t
zkoksovat	z-koks-ova-t
pulsovat	puls-ova-t
indosovat	indos-ova-t
losovat	los-ova-t
glosovat	glos-ova-t
slosovat	s-los-ova-t
vylosovat	vy-los-ova-t
rozlosovat	roz-los-ova-t
nakusovat	na-kus-ova-t
zakusovat	za-kus-ova-t
překusovat	pře-kus-ova-t
přikusovat	při-kus-ova-t
okusovat	o-kus-ova-t
prokusovat	pro-kus-ova-t
ukusovat	u-kus-ova-t
vykusovat	vy-kus-ova-t
rozkusovat	roz-kus-ova-t
rýsovat	rýs-ova-t
narýsovat	na-rýs-ova-t
orýsovat	o-rýs-ova-t
odhlašovat	od-hlaš-ova-t
přehlašovat	pře-hlaš-ova-t
přihlašovat	při-hlaš-ova-t
ohlašovat	o-hlaš-ova-t
prohlašovat	pro-hlaš-ova-t
vyhlašovat	vy-hlaš-ova-t
rozhlašovat	roz-hlaš-ova-t
zaplašovat	za-plaš-ova-t
pašovat	paš-ova-t
propašovat	pro-paš-ova-t
vpašovat	v-paš-ova-t
zaprašovat	za-praš-ova-t
oprašovat	o-praš-ova-t
poprašovat	po-praš-ova-t
sprašovat	spraš-ova-t
rozprašovat	roz-praš-ova-t
zastrašovat	za-straš-ova-t
odstrašovat	od-straš-ova-t
detašovat	de-taš-ova-t
nakvašovat	na-kvaš-ova-t
zakvašovat	za-kvaš-ova-t
odměšovat	od-měš-ova-t
přiměšovat	při-měš-ova-t
směšovat	s-měš-ova-t
vměšovat	v-měš-ova-t
vyměšovat	vy-měš-ova-t
pohřešovat	po-hřeš-ova-t
prohřešovat	pro-hřeš-ova-t
zastřešovat	za-střeš-ova-t
potěšovat	po-těš-ova-t
utěšovat	u-těš-ova-t
navěšovat	na-věš-ova-t
zavěšovat	za-věš-ova-t
přivěšovat	při-věš-ova-t
ověšovat	o-věš-ova-t
svěšovat	s-věš-ova-t
vyvěšovat	vy-věš-ova-t
rozvěšovat	roz-věš-ova-t
odlišovat	od-liš-ova-t
rozlišovat	roz-liš-ova-t
finišovat	finiš-ova-t
uspišovat	u-spiš-ova-t
utišovat	u-tiš-ova-t
ukonejšovat	u-konejš-ova-t
falšovat	falš-ova-t
zfalšovat	z-falš-ova-t
revanšovat	re-vanš-ova-t
umenšovat	u-men-š-ova-t
zmenšovat	z-men-š-ova-t
vinšovat	vinš-ova-t
odprošovat	od-proš-ova-t
doprošovat	do-proš-ova-t
uprošovat	u-proš-ova-t
vyprošovat	vy-proš-ova-t
nadlepšovat	nad-lep-š-ova-t
přilepšovat	při-lep-š-ova-t
polepšovat	po-lep-š-ova-t
zlepšovat	z-lep-š-ova-t
veršovat	verš-ova-t
zveršovat	z-verš-ova-t
pohoršovat	po-hor-š-ova-t
zhoršovat	z-hor-š-ova-t
dovršovat	do-vrš-ova-t
zvětšovat	z-vět-š-ova-t
dušovat	duš-ova-t
zadušovat	za-duš-ova-t
zjednodušovat	z-jedn-o-duš-ova-t
fušovat	fuš-ova-t
zfušovat	z-fuš-ova-t
kušovat	kuš-ova-t
přezkušovat	pře-z-kuš-ova-t
přehlušovat	pře-hluš-ova-t
ohlušovat	o-hluš-ova-t
zasmušovat	za-smuš-ova-t
narušovat	na-ruš-ova-t
zabrušovat	za-bruš-ova-t
přebrušovat	pře-bruš-ova-t
ubrušovat	u-bruš-ova-t
vybrušovat	vy-bruš-ova-t
zbrušovat	z-bruš-ova-t
odrušovat	od-ruš-ova-t
přerušovat	pře-ruš-ova-t
porušovat	po-ruš-ova-t
utrušovat	u-truš-ova-t
roztrušovat	roz-truš-ova-t
vyrušovat	vy-ruš-ova-t
nevyrušovat	ne-vy-ruš-ova-t
zrušovat	z-ruš-ova-t
rozrušovat	roz-ruš-ova-t
tozrušovat	toz-ruš-ova-t
vzrušovat	vz-ruš-ova-t
osušovat	o-suš-ova-t
dosušovat	do-suš-ova-t
vysušovat	vy-suš-ova-t
zatušovat	za-tuš-ova-t
retušovat	re-tuš-ova-t
zaretušovat	za-re-tuš-ova-t
vyretušovat	vy-re-tuš-ova-t
převyšovat	pře-vyš-ova-t
povyšovat	po-vyš-ova-t
vyvyšovat	vy-vyš-ova-t
zvyšovat	z-vyš-ova-t
debatovat	de-bat-ova-t
prodebatovat	pro-de-bat-ova-t
datovat	dat-ova-t
antedatovat	ante-dat-ova-t
postdatovat	post-dat-ova-t
fatovat	fat-ova-t
plakátovat	plak-át-ova-t
plátovat	plát-ova-t
záplatovat	zá-plat-ova-t
matovat	mat-ova-t
pamatovat	pamat-ova-t
zapamatovat	za-pamat-ova-t
připamatovat	při-pamat-ova-t
upamatovat	u-pamat-ova-t
vzpamatovat	vz-pamat-ova-t
exploatovat	ex-ploat-ova-t
drátovat	drát-ova-t
zadrátovat	za-drát-ova-t
přidrátovat	při-drát-ova-t
sdrátovat	s-drát-ova-t
statovat	stat-ova-t
konstatovat	kon-stat-ova-t
vatovat	vat-ova-t
vyvatovat	vy-vat-ova-t
octovat	oct-ova-t
zvědečťovat	z-věd-eč-ť-ova-t
pokatoličťovat	po-katol-ič-ť-ova-t
účtovat	ú-čt-ova-t
zaúčtovat	za-ú-čt-ova-t
odúčtovat	od-ú-čt-ova-t
doúčtovat	do-ú-čt-ova-t
proúčtovat	pro-ú-čt-ova-t
súčtovat	s-ú-čt-ova-t
vyúčtovat	vy-ú-čt-ova-t
zúčtovat	z-ú-čt-ova-t
obětovat	obět-ova-t
odpečeťovat	od-pečeť-ova-t
vegetovat	veget-ova-t
briketovat	briket-ova-t
koketovat	koket-ova-t
zakoketovat	za-koket-ova-t
parketovat	parket-ova-t
letovat	let-ova-t
naletovat	na-let-ova-t
zaletovat	za-let-ova-t
obletovat	ob-let-ova-t
odletovat	od-let-ova-t
přeletovat	pře-let-ova-t
přiletovat	při-let-ova-t
doletovat	do-let-ova-t
poletovat	po-let-ova-t
proletovat	pro-let-ova-t
sletovat	s-let-ova-t
uletovat	u-let-ova-t
vyletovat	vy-let-ova-t
rozletovat	roz-let-ova-t
magnetovat	magnet-ova-t
zmagnetovat	z-magnet-ova-t
tapetovat	tap-et-ova-t
vytapetovat	vy-tap-et-ova-t
repetovat	repet-ova-t
korepetovat	ko-re-pet-ova-t
opětovat	opět-ova-t
aretovat	aret-ova-t
dekretovat	de-kret-ova-t
nadekretovat	na-de-kret-ova-t
apretovat	apret-ova-t
interpretovat	inter-pret-ova-t
portrétovat	por-trét-ova-t
vyportrétovat	vy-por-trét-ova-t
tetovat	tet-ova-t
štětovat	štět-ova-t
vetovat	vet-ova-t
pachtovat	pacht-ova-t
připachtovat	při-pacht-ova-t
propachtovat	pro-pacht-ova-t
zpachtovat	z-pacht-ova-t
zušlechťovat	z-u-šlechť-ova-t
krechtovat	krecht-ova-t
zakrechtovat	za-krecht-ova-t
rychtovat	rycht-ova-t
dehtovat	deht-ova-t
nadehtovat	na-deht-ova-t
zadehtovat	za-deht-ova-t
vydehtovat	vy-deht-ova-t
debitovat	debit-ova-t
citovat	cit-ova-t
recitovat	re-cit-ova-t
zarecitovat	za-re-cit-ova-t
licitovat	licit-ova-t
ocitovat	o-cit-ova-t
pociťovat	po-ciť-ova-t
vciťovat	v-ciť-ova-t
vyciťovat	vy-ciť-ova-t
meditovat	medit-ova-t
kreditovat	kred-it-ova-t
akreditovat	a-kred-it-ova-t
diskreditovat	dis-kred-it-ova-t
zdiskreditovat	z-dis-kred-it-ova-t
profitovat	pro-fit-ova-t
agitovat	ag-it-ova-t
litovat	lit-ova-t
zalitovat	za-lit-ova-t
habilitovat	hab-il-it-ova-t
politovat	po-lit-ova-t
slitovat	s-lit-ova-t
emitovat	e-mit-ova-t
remitovat	remit-ova-t
imitovat	i-mit-ova-t
limitovat	limit-ova-t
kompromitovat	kom-pro-mit-ova-t
zkompromitovat	z-kom-pro-mit-ova-t
hospitovat	hospit-ova-t
fritovat	frit-ova-t
iritovat	irit-ova-t
síťovat	síť-ova-t
zesíťovat	ze-síť-ova-t
gravitovat	grav-it-ova-t
kvitovat	kvit-ova-t
policajtovat	pol-ic-ajt-ova-t
rajtovat	rajt-ova-t
refaktovat	re-fakt-ova-t
paktovat	pakt-ova-t
traktovat	trakt-ova-t
taktovat	takt-ova-t
afektovat	afekt-ova-t
projektovat	pro-jekt-ova-t
vyprojektovat	vy-pro-jekt-ova-t
reflektovat	re-flekt-ova-t
anektovat	a-nekt-ova-t
respektovat	re-spekt-ova-t
diktovat	dikt-ova-t
nadiktovat	na-dikt-ova-t
punktovat	punkt-ova-t
spunktovat	s-punkt-ova-t
asfaltovat	asfalt-ova-t
haltovat	halt-ova-t
smaltovat	smalt-ova-t
šaltovat	šalt-ova-t
přešaltovat	pře-šalt-ova-t
exaltovat	ex-alt-ova-t
dekoltovat	dekolt-ova-t
revoltovat	re-volt-ova-t
auskultovat	auskult-ova-t
katapultovat	kata-pult-ova-t
rezultovat	re-zult-ova-t
inzultovat	in-zult-ova-t
konzultovat	kon-zult-ova-t
bantovat	bant-ova-t
čantovat	čant-ova-t
transplantovat	trans-plant-ova-t
garantovat	gar-ant-ova-t
akcentovat	ak-cent-ova-t
doindentovat	do-indent-ova-t
orientovat	ori-ent-ova-t
přeorientovat	pře-orient-ova-t
zorientovat	z-orient-ova-t
dezorientovat	dez-ori-ent-ova-t
lamentovat	lament-ova-t
testamentovat	testament-ova-t
cementovat	cement-ova-t
zacementovat	za-cement-ova-t
vycementovat	vy-cement-ova-t
dementovat	de-ment-ova-t
reglementovat	reg-le-ment-ova-t
segmentovat	seg-ment-ova-t
experimentovat	ex-peri-ment-ova-t
komentovat	ko-ment-ova-t
fermentovat	fer-ment-ova-t
dokumentovat	doku-ment-ova-t
instrumentovat	in-stru-ment-ova-t
zinstrumentovat	z-instrument-ova-t
rentovat	rent-ova-t
presentovat	pre-sent-ova-t
patentovat	pat-ent-ova-t
potentovat	po-tent-ova-t
frekventovat	frekvent-ova-t
zinventovat	z-invent-ova-t
prezentovat	pre-zent-ova-t
reprezentovat	re-pre-zent-ova-t
pointovat	point-ova-t
kontovat	kont-ova-t
eskontovat	es-kont-ova-t
diskontovat	dis-kont-ova-t
montovat	mont-ova-t
namontovat	na-mont-ova-t
zamontovat	za-mont-ova-t
odmontovat	od-mont-ova-t
demontovat	de-mont-ova-t
přemontovat	pře-mont-ova-t
přimontovat	při-mont-ova-t
smontovat	s-mont-ova-t
vmontovat	v-mont-ova-t
vymontovat	vy-mont-ova-t
zmontovat	z-mont-ova-t
rozmontovat	roz-mont-ova-t
konfrontovat	kon-front-ova-t
zkonfrontovat	z-kon-front-ova-t
sbuntovat	s-bunt-ova-t
zhuntovat	z-hunt-ova-t
gruntovat	grunt-ova-t
sabotovat	sabot-ova-t
robotovat	rob-ot-ova-t
dotovat	dot-ova-t
kótovat	kót-ova-t
bojkotovat	bojkot-ova-t
okótovat	o-kót-ova-t
pilotovat	pilot-ova-t
šamotovat	šamot-ova-t
vyšamotovat	vy-šamot-ova-t
notovat	not-ova-t
anotovat	a-not-ova-t
zanotovat	za-not-ova-t
bootovat	boot-ova-t
rebootovat	re-boot-ova-t
rotovat	rot-ova-t
frotovat	frot-ova-t
vyhrotovat	vy-hrot-ova-t
zbankrotovat	z-bank-rot-ova-t
šrotovat	šrot-ova-t
sešrotovat	se-šrot-ova-t
rozšrotovat	roz-šrot-ova-t
adaptovat	ad-apt-ova-t
akceptovat	ak-cept-ova-t
optovat	opt-ova-t
adoptovat	ad-opt-ova-t
kooptovat	ko-opt-ova-t
kartovat	kart-ova-t
skartovat	s-kart-ova-t
startovat	start-ova-t
nastartovat	na-start-ova-t
odstartovat	od-start-ova-t
vartovat	vart-ova-t
koncertovat	kon-cert-ova-t
invertovat	in-vert-ova-t
konvertovat	kon-vert-ova-t
dezertovat	de-zert-ova-t
žertovat	žert-ova-t
nažertovat	na-žert-ova-t
zažertovat	za-žert-ova-t
flirtovat	flirt-ova-t
zaflirtovat	za-flirt-ova-t
eskortovat	es-kort-ova-t
aportovat	a-port-ova-t
deportovat	de-port-ova-t
kolportovat	kol-port-ova-t
importovat	im-port-ova-t
sportovat	sport-ova-t
transportovat	trans-port-ova-t
exportovat	ex-port-ova-t
sortovat	sort-ova-t
hurtovat	hurt-ova-t
častovat	čast-ova-t
počastovat	po-čast-ova-t
vyčastovat	vy-čast-ova-t
pastovat	past-ova-t
napastovat	na-past-ova-t
kontrastovat	kontra-st-ova-t
přidevastovat	při-devast-ova-t
cestovat	cest-ova-t
odcestovat	od-cest-ova-t
přicestovat	při-cest-ova-t
procestovat	pro-cest-ova-t
scestovat	s-cest-ova-t
manifestovat	mani-fest-ova-t
oklesťovat	o-klesť-ova-t
proklesťovat	pro-klesť-ova-t
vyklesťovat	vy-klesť-ova-t
amnestovat	a-mnest-ova-t
pěstovat	pěst-ova-t
propěstovat	pro-pěst-ova-t
vypěstovat	vy-pěst-ova-t
restovat	rest-ova-t
testovat	test-ova-t
atestovat	a-test-ova-t
otestovat	o-test-ova-t
protestovat	pro-test-ova-t
zaprotestovat	za-pro-test-ova-t
investovat	in-vest-ova-t
zvěstovat	z-věst-ova-t
začisťovat	za-čisť-ova-t
znečisťovat	z-ne-čisť-ova-t
očisťovat	o-čisť-ova-t
listovat	list-ova-t
zalistovat	za-list-ova-t
přelistovat	pře-list-ova-t
prolistovat	pro-list-ova-t
přemísťovat	pře-mísť-ova-t
umísťovat	u-mísť-ova-t
rozmísťovat	roz-mísť-ova-t
vykořisťovat	vy-kořisť-ova-t
sistovat	sist-ova-t
asistovat	a-sist-ova-t
existovat	ex-ist-ova-t
obelsťovat	obe-lsť-ova-t
hostovat	host-ova-t
vykosťovat	vy-kosť-ova-t
kompostovat	kom-post-ova-t
zkompostovat	z-kom-post-ova-t
starostovat	star-ost-ova-t
zdisgustovat	z-dis-gust-ova-t
adjustovat	ad-just-ova-t
odmašťovat	od-mašť-ova-t
svrašťovat	s-vrašť-ova-t
zčešťovat	z-češť-ova-t
zadešťovat	za-dešť-ova-t
oklešťovat	o-klešť-ova-t
proklešťovat	pro-klešť-ova-t
vyklešťovat	vy-klešť-ova-t
začišťovat	za-čišť-ova-t
znečišťovat	z-ne-čišť-ova-t
přečišťovat	pře-čišť-ova-t
očišťovat	o-čišť-ova-t
počišťovat	po-čišť-ova-t
pročišťovat	pro-čišť-ova-t
vyčišťovat	vy-čišť-ova-t
zajišťovat	za-jišť-ova-t
odjišťovat	od-jišť-ova-t
pojišťovat	po-jišť-ova-t
ujišťovat	u-jišť-ova-t
zjišťovat	z-jišť-ova-t
lištovat	lišt-ova-t
zpanšťovat	z-pan-šť-ova-t
zespolečenšťovat	ze-spol-eč-en-šť-ova-t
